18:35:56 START total=11142 done=0 todo=11142 (처방+용어+해설, exaone)
18:36:26 progress 50 done | 1.7/s
18:36:41 progress 100 done | 2.2/s
18:37:00 progress 150 done | 2.3/s
18:37:21 progress 200 done | 2.3/s
18:37:42 progress 250 done | 2.3/s
18:38:06 progress 300 done | 2.3/s
18:38:21 progress 350 done | 2.4/s
18:38:46 progress 400 done | 2.3/s
18:39:08 progress 450 done | 2.3/s
18:39:29 progress 500 done | 2.3/s
18:39:48 progress 550 done | 2.4/s
18:40:03 progress 600 done | 2.4/s
18:40:23 progress 650 done | 2.4/s
18:40:41 progress 700 done | 2.5/s
18:41:04 progress 750 done | 2.4/s
18:41:24 progress 800 done | 2.4/s
18:41:38 progress 850 done | 2.5/s
18:42:01 progress 900 done | 2.5/s
18:42:16 progress 950 done | 2.5/s
18:42:30 progress 1000 done | 2.5/s
18:42:50 progress 1050 done | 2.5/s
18:43:05 progress 1100 done | 2.6/s
18:43:21 progress 1150 done | 2.6/s
18:43:42 progress 1200 done | 2.6/s
18:43:58 progress 1250 done | 2.6/s
18:44:16 progress 1300 done | 2.6/s
18:44:37 progress 1350 done | 2.6/s
18:44:58 progress 1400 done | 2.6/s
18:45:17 progress 1450 done | 2.6/s
18:45:38 progress 1500 done | 2.6/s
18:45:51 progress 1550 done | 2.6/s
18:46:08 progress 1600 done | 2.6/s
18:46:24 progress 1650 done | 2.6/s
18:46:44 progress 1700 done | 2.6/s
18:47:05 progress 1750 done | 2.6/s
18:47:23 progress 1800 done | 2.6/s
18:47:35 progress 1850 done | 2.6/s
18:47:50 progress 1900 done | 2.7/s
18:48:07 progress 1950 done | 2.7/s
18:48:18 progress 2000 done | 2.7/s
18:48:32 progress 2050 done | 2.7/s
18:48:51 progress 2100 done | 2.7/s
18:49:09 progress 2150 done | 2.7/s
18:49:24 progress 2200 done | 2.7/s
18:49:42 progress 2250 done | 2.7/s
18:49:58 progress 2300 done | 2.7/s
18:50:15 progress 2350 done | 2.7/s
18:50:33 progress 2400 done | 2.7/s
18:50:47 progress 2450 done | 2.7/s
18:51:10 progress 2500 done | 2.7/s
18:51:29 progress 2550 done | 2.7/s
18:51:57 progress 2600 done | 2.7/s
18:52:14 progress 2650 done | 2.7/s
18:52:33 progress 2700 done | 2.7/s
18:52:48 progress 2750 done | 2.7/s
18:53:11 progress 2800 done | 2.7/s
18:53:30 progress 2850 done | 2.7/s
18:53:55 progress 2900 done | 2.7/s
18:54:28 progress 2950 done | 2.7/s
18:54:41 progress 3000 done | 2.7/s
18:55:00 progress 3050 done | 2.7/s
18:55:26 progress 3100 done | 2.6/s
18:55:48 progress 3150 done | 2.6/s
18:56:07 progress 3200 done | 2.6/s
18:56:27 progress 3250 done | 2.6/s
18:56:47 progress 3300 done | 2.6/s
18:56:59 progress 3350 done | 2.7/s
18:57:22 progress 3400 done | 2.6/s
18:57:37 progress 3450 done | 2.7/s
18:58:02 progress 3500 done | 2.6/s
18:58:27 progress 3550 done | 2.6/s
18:58:45 progress 3600 done | 2.6/s
18:59:12 progress 3650 done | 2.6/s
18:59:26 progress 3700 done | 2.6/s
18:59:46 progress 3750 done | 2.6/s
19:00:07 progress 3800 done | 2.6/s
19:00:23 progress 3850 done | 2.6/s
19:00:45 progress 3900 done | 2.6/s
19:01:02 progress 3950 done | 2.6/s
19:01:25 progress 4000 done | 2.6/s
19:01:46 progress 4050 done | 2.6/s
19:02:10 progress 4100 done | 2.6/s
19:02:32 progress 4150 done | 2.6/s
19:02:50 progress 4200 done | 2.6/s
19:03:06 progress 4250 done | 2.6/s
19:03:29 progress 4300 done | 2.6/s
19:03:47 progress 4350 done | 2.6/s
19:04:06 progress 4400 done | 2.6/s
19:04:26 progress 4450 done | 2.6/s
19:04:42 progress 4500 done | 2.6/s
19:04:57 progress 4550 done | 2.6/s
19:05:10 progress 4600 done | 2.6/s
19:05:27 progress 4650 done | 2.6/s
19:05:49 progress 4700 done | 2.6/s
19:06:27 progress 4750 done | 2.6/s
19:06:46 progress 4800 done | 2.6/s
19:07:03 progress 4850 done | 2.6/s
19:07:24 progress 4900 done | 2.6/s
19:07:50 progress 4950 done | 2.6/s
19:08:10 progress 5000 done | 2.6/s
19:08:35 progress 5050 done | 2.6/s
19:08:50 progress 5100 done | 2.6/s
19:09:13 progress 5150 done | 2.6/s
19:09:30 progress 5200 done | 2.6/s
19:11:11 START total=11142 done=4963 todo=5922 (처방+용어+해설, exaone)
19:11:34 progress 50 done | 2.1/s
19:11:57 progress 100 done | 2.1/s
19:12:20 progress 150 done | 2.1/s
19:12:44 progress 200 done | 2.1/s
19:13:21 progress 250 done | 1.9/s
19:13:34 progress 300 done | 2.1/s
19:14:01 progress 350 done | 2.0/s
19:14:21 progress 400 done | 2.1/s
19:14:39 progress 450 done | 2.2/s
19:15:02 progress 500 done | 2.2/s
19:15:28 progress 550 done | 2.1/s
19:15:48 progress 600 done | 2.2/s
19:16:12 progress 650 done | 2.2/s
19:16:24 progress 700 done | 2.2/s
19:16:40 progress 750 done | 2.3/s
19:17:00 progress 800 done | 2.3/s
19:17:16 progress 850 done | 2.3/s
19:17:32 progress 900 done | 2.4/s
19:17:49 progress 950 done | 2.4/s
19:18:03 progress 1000 done | 2.4/s
19:18:24 progress 1050 done | 2.4/s
19:18:39 progress 1100 done | 2.5/s
19:19:00 progress 1150 done | 2.4/s
19:19:18 progress 1200 done | 2.5/s
19:19:33 progress 1250 done | 2.5/s
19:19:57 progress 1300 done | 2.5/s
19:20:13 progress 1350 done | 2.5/s
19:20:34 progress 1400 done | 2.5/s
19:20:52 progress 1450 done | 2.5/s
19:21:09 progress 1500 done | 2.5/s
19:21:22 progress 1550 done | 2.5/s
19:21:39 progress 1600 done | 2.5/s
19:22:01 progress 1650 done | 2.5/s
19:22:13 progress 1700 done | 2.6/s
19:22:38 progress 1750 done | 2.5/s
19:22:58 progress 1800 done | 2.5/s
19:23:32 progress 1850 done | 2.5/s
19:23:53 progress 1900 done | 2.5/s
19:24:14 progress 1950 done | 2.5/s
19:27:08 progress 2000 done | 2.1/s
19:31:02 progress 2050 done | 1.7/s
19:31:28 progress 2100 done | 1.7/s
19:32:02 progress 2150 done | 1.7/s
19:32:29 progress 2200 done | 1.7/s
19:32:59 progress 2250 done | 1.7/s
19:33:24 progress 2300 done | 1.7/s
19:33:53 progress 2350 done | 1.7/s
19:34:13 progress 2400 done | 1.7/s
19:34:36 progress 2450 done | 1.7/s
19:34:54 progress 2500 done | 1.8/s
19:35:23 progress 2550 done | 1.8/s
19:35:46 progress 2600 done | 1.8/s
19:36:02 progress 2650 done | 1.8/s
19:36:27 progress 2700 done | 1.8/s
19:36:46 progress 2750 done | 1.8/s
19:37:06 progress 2800 done | 1.8/s
19:37:31 progress 2850 done | 1.8/s
19:37:49 progress 2900 done | 1.8/s
19:38:07 progress 2950 done | 1.8/s
19:38:30 progress 3000 done | 1.8/s
19:38:54 progress 3050 done | 1.8/s
19:39:12 progress 3100 done | 1.8/s
19:39:30 progress 3150 done | 1.9/s
19:39:42 progress 3200 done | 1.9/s
19:40:01 progress 3250 done | 1.9/s
19:40:16 progress 3300 done | 1.9/s
19:40:34 progress 3350 done | 1.9/s
19:40:52 progress 3400 done | 1.9/s
19:41:11 progress 3450 done | 1.9/s
19:41:48 progress 3500 done | 1.9/s
19:42:07 progress 3550 done | 1.9/s
19:42:22 progress 3600 done | 1.9/s
19:42:44 progress 3650 done | 1.9/s
19:43:04 progress 3700 done | 1.9/s
19:43:24 progress 3750 done | 1.9/s
19:43:39 progress 3800 done | 1.9/s
19:43:58 progress 3850 done | 2.0/s
19:44:11 progress 3900 done | 2.0/s
19:44:23 progress 3950 done | 2.0/s
19:44:38 progress 4000 done | 2.0/s
19:44:49 progress 4050 done | 2.0/s
19:45:06 progress 4100 done | 2.0/s
19:45:25 progress 4150 done | 2.0/s
19:45:57 progress 4200 done | 2.0/s
19:46:17 progress 4250 done | 2.0/s
19:46:34 progress 4300 done | 2.0/s
19:46:48 progress 4350 done | 2.0/s
19:47:05 progress 4400 done | 2.0/s
19:47:18 progress 4450 done | 2.1/s
19:47:33 progress 4500 done | 2.1/s
