00:11:27 START total=11142 done=3615 todo=7381 model=gpt-4o-mini
00:12:37 progress 100 | 1.4/s
00:12:52 progress 200 | 2.3/s
00:13:06 progress 300 | 3.0/s
00:13:20 progress 400 | 3.5/s
00:13:35 progress 500 | 3.9/s
00:13:47 progress 600 | 4.3/s
00:13:59 progress 700 | 4.6/s
00:14:11 progress 800 | 4.9/s
00:14:25 progress 900 | 5.0/s
00:14:39 progress 1000 | 5.2/s
00:14:51 progress 1100 | 5.4/s
00:15:03 progress 1200 | 5.5/s
00:15:15 progress 1300 | 5.7/s
00:15:28 progress 1400 | 5.8/s
00:15:42 progress 1500 | 5.9/s
00:15:55 progress 1600 | 5.9/s
00:16:08 progress 1700 | 6.0/s
00:16:21 progress 1800 | 6.1/s
00:16:37 progress 1900 | 6.1/s
00:16:52 progress 2000 | 6.1/s
00:17:07 progress 2100 | 6.2/s
00:17:22 progress 2200 | 6.2/s
00:17:36 progress 2300 | 6.2/s
00:17:53 progress 2400 | 6.2/s
00:18:08 progress 2500 | 6.2/s
00:18:27 progress 2600 | 6.2/s
00:18:43 progress 2700 | 6.2/s
00:18:58 progress 2800 | 6.2/s
00:19:24 progress 2900 | 6.1/s
00:21:14 progress 3000 | 5.1/s
00:23:56 progress 3100 | 4.1/s
00:26:34 progress 3200 | 3.5/s
00:29:16 progress 3300 | 3.1/s
00:31:46 progress 3400 | 2.8/s
00:34:14 progress 3500 | 2.6/s
00:36:57 progress 3600 | 2.4/s
00:39:33 progress 3700 | 2.2/s
00:42:15 progress 3800 | 2.1/s
00:44:41 progress 3900 | 2.0/s
00:47:09 progress 4000 | 1.9/s
00:49:39 progress 4100 | 1.8/s
00:51:40 progress 4200 | 1.7/s
00:51:53 progress 4300 | 1.8/s
00:52:08 progress 4400 | 1.8/s
00:52:22 progress 4500 | 1.8/s
00:52:46 progress 4600 | 1.9/s
00:53:00 progress 4700 | 1.9/s
00:53:13 progress 4800 | 1.9/s
00:53:29 progress 4900 | 1.9/s
00:53:48 progress 5000 | 2.0/s
00:54:01 progress 5100 | 2.0/s
00:54:15 progress 5200 | 2.0/s
00:54:30 progress 5300 | 2.1/s
00:54:42 progress 5400 | 2.1/s
00:54:55 progress 5500 | 2.1/s
00:55:10 progress 5600 | 2.1/s
00:55:26 progress 5700 | 2.2/s
00:55:43 progress 5800 | 2.2/s
00:55:59 progress 5900 | 2.2/s
00:56:15 progress 6000 | 2.2/s
00:56:30 progress 6100 | 2.3/s
00:56:46 progress 6200 | 2.3/s
00:56:57 progress 6300 | 2.3/s
00:57:13 progress 6400 | 2.3/s
00:57:28 progress 6500 | 2.4/s
00:57:41 progress 6600 | 2.4/s
00:57:53 progress 6700 | 2.4/s
00:58:06 progress 6800 | 2.4/s
00:58:18 progress 6900 | 2.5/s
00:58:27 progress 7000 | 2.5/s
00:58:40 progress 7100 | 2.5/s
00:58:51 progress 7200 | 2.5/s
00:59:01 progress 7300 | 2.6/s
00:59:14 ALL DONE total=10996
