category	model	year	status	started_at	finished_at
general	qwen2.5-7b	2022	OK	2026-08-01 01:54:57	2026-08-01 01:59:34
general	qwen2.5-7b	2023	OK	2026-08-01 01:59:34	2026-08-01 02:03:56
general	qwen2.5-7b	2024	OK	2026-08-01 02:03:56	2026-08-01 02:08:23
general	qwen2.5-7b	2025	OK	2026-08-01 02:08:23	2026-08-01 02:13:05
general	exaone3.5-7.8b	2022	OK	2026-08-01 02:14:32	2026-08-01 02:21:09
general	exaone3.5-7.8b	2023	OK	2026-08-01 02:21:09	2026-08-01 02:27:32
general	exaone3.5-7.8b	2024	OK	2026-08-01 02:27:32	2026-08-01 02:33:56
general	exaone3.5-7.8b	2025	OK	2026-08-01 02:33:56	2026-08-01 02:40:35
general	solar-10.7b	2022	OK	2026-08-01 02:41:53	2026-08-01 02:48:38
general	solar-10.7b	2023	OK	2026-08-01 02:48:38	2026-08-01 02:55:21
general	solar-10.7b	2024	OK	2026-08-01 02:55:21	2026-08-01 03:01:55
general	solar-10.7b	2025	OK	2026-08-01 03:01:55	2026-08-01 03:09:02
general	mistral-7b	2022	OK	2026-08-01 03:10:19	2026-08-01 03:15:53
general	mistral-7b	2023	OK	2026-08-01 03:15:53	2026-08-01 03:21:11
general	mistral-7b	2024	OK	2026-08-01 03:21:12	2026-08-01 03:26:20
general	mistral-7b	2025	OK	2026-08-01 03:26:20	2026-08-01 03:31:38
domain/tcm	huatuogpt-o1-7b	2022	OK	2026-08-01 03:33:10	2026-08-01 03:39:01
domain/tcm	huatuogpt-o1-7b	2023	OK	2026-08-01 03:39:01	2026-08-01 03:44:46
domain/tcm	huatuogpt-o1-7b	2024	OK	2026-08-01 03:44:46	2026-08-01 03:50:30
domain/tcm	huatuogpt-o1-7b	2025	OK	2026-08-01 03:50:30	2026-08-01 03:56:06
domain/western_med	medgemma-4b	2022	OK	2026-08-01 03:58:13	2026-08-01 04:01:18
domain/western_med	medgemma-4b	2023	OK	2026-08-01 04:01:18	2026-08-01 04:04:12
domain/western_med	medgemma-4b	2024	OK	2026-08-01 04:04:12	2026-08-01 04:07:22
domain/western_med	medgemma-4b	2025	OK	2026-08-01 04:07:22	2026-08-01 04:10:35
domain/western_med	biomistral-7b	2022	OK	2026-08-01 04:11:51	2026-08-01 04:17:03
domain/western_med	biomistral-7b	2023	OK	2026-08-01 04:17:03	2026-08-01 04:22:10
domain/western_med	biomistral-7b	2024	OK	2026-08-01 04:22:10	2026-08-01 04:26:49
domain/western_med	biomistral-7b	2025	OK	2026-08-01 04:26:49	2026-08-01 04:31:09
domain/western_med	medllama2-7b	2022	OK	2026-08-01 04:32:31	2026-08-01 04:44:52
domain/western_med	medllama2-7b	2023	OK	2026-08-01 04:44:52	2026-08-01 04:56:28
domain/western_med	medllama2-7b	2024	OK	2026-08-01 04:56:28	2026-08-01 05:07:43
domain/western_med	medllama2-7b	2025	OK	2026-08-01 05:07:43	2026-08-01 05:18:29
domain/western_med	openbiollm-8b	2022	OK	2026-08-01 05:19:46	2026-08-01 05:22:21
domain/western_med	openbiollm-8b	2023	OK	2026-08-01 05:22:21	2026-08-01 05:25:00
domain/western_med	openbiollm-8b	2024	OK	2026-08-01 05:25:00	2026-08-01 05:27:36
domain/western_med	openbiollm-8b	2025	OK	2026-08-01 05:27:36	2026-08-01 05:29:55
